!exclamation-point	ɛksklʌmeɪʃʌnpɔɪnt
"close-quote	kloʊzkwoʊt
"double-quote	dʌbʌlkwoʊt
abating	ʌbeɪtɪŋ
abba	æbʌ
abbado	ʌbɑdoʊ
abbas	ʌbɑs
abbasi	ɑbɑsi
abbate	ɑbeɪt
abbatiello	ɑbɑtiɛloʊ
abbe	æbi
abbenhaus	æbʌnhaʊs
abbett	ʌbɛt
abbeville	æbvɪl
abbey	æbi
abbey's	æbiz
abbie	æbi
abbitt	æbɪt
abbot	æbʌt
abbotstown	æbʌtstaʊn
abbott	æbʌt
abbott's	æbʌts
abbottstown	æbʌtstaʊn
abboud	ʌbud
abbreviate	ʌbɹivieɪt
abbreviated	ʌbɹivieɪtʌd
abbreviates	ʌbɹivieɪts
abbreviating	ʌbɹivieɪtɪŋ
abbreviation	ʌbɹivieɪʃʌn
abbreviations	ʌbɹivieɪʃʌnz
abbruzzese	ɑbɹutseɪzi
abbs	æbz
abby	æbi
abco	æbkoʊ
abcotek	æbkoʊtɛk
abdalla	æbdælʌ
abdallah	æbdælʌ
abdel	æbdɛl
abdella	æbdɛlʌ
abdicate	æbdʌkeɪt
abdicated	æbdʌkeɪtʌd
abdicates	æbdʌkeɪts
abdicating	æbdɪkeɪtɪŋ
abdication	æbdɪkeɪʃʌn
abdnor	æbdnəɹ
abdo	æbdoʊ
abdollah	æbdɑlʌ
abdomen	æbdoʊmʌn
abdominal	æbdɑmʌnʌl
abduct	æbdʌkt
abducted	æbdʌktɪd
abductee	æbdʌkti
abductees	æbdʌktiz
abducting	æbdʌktɪŋ
abduction	æbdʌkʃʌn
abductions	æbdʌkʃʌnz
abductor	æbdʌktəɹ
abductors	æbdʌktəɹz
abducts	æbdʌkts
abdul	æbdul
abdulaziz	æbdulʌziz
abdulla	ɑbdulʌ
abdullah	æbdʌlʌ
abe	eɪb
abed	ʌbɛd
abedi	ʌbɛdi
abee	ʌbi
abel	eɪbʌl
abela	ɑbɛlʌ
abelard	æbɪləɹd
abele	ʌbɛl
abeles	ʌbɛlz
abell	eɪbʌl
abella	ʌbɛlʌ
abeln	æbɪln
abelow	æbʌloʊ
abels	eɪbʌlz
abelson	æbɪlsʌn
abend	æbɛnd
abendroth	æbɪndɹɔθ
aber	eɪbəɹ
abercrombie	æbəɹkɹɑmbi
aberdeen	æbəɹdin
aberford	eɪbəɹfəɹd
aberg	æbəɹɡ
aberle	æbəɹʌl
abermin	æbəɹmɪn
abernathy	æbəɹnæθi
abernethy	æbəɹnɛθi
aberrant	æbɛɹʌnt
aberration	æbəɹeɪʃʌn
aberrational	æbəɹeɪʃʌnʌl
aberrations	æbəɹeɪʃʌnz
abert	æbəɹt
abet	ʌbɛt
abetted	ʌbɛtɪd
abetting	ʌbɛtɪŋ
abex	eɪbɛks
abeyance	ʌbeɪʌns
abeyta	ɑbeɪtʌ
abhor	æbhɔɹ
abhorred	ʌbhɔɹd
abhorrence	ʌbhɔɹʌns
abhorrent	æbhɔɹʌnt
abhors	ʌbhɔɹz
abiam	eɪbiʌm
abiam's	eɪbiʌmz
abid	eɪbɪd
abide	ʌbaɪd
abided	ʌbaɪdɪd
abides	ʌbaɪdz
abiding	ʌbaɪdɪŋ
abidjan	æbɪdʒɑn
abie	æbi
abigail	æbʌɡeɪl
abila	ɑbilʌ
abilene	æbɪlin
abilities	ʌbɪlʌtiz
ability	ʌbɪlʌti
abimael	æbɪmeɪl
abimaels	æbɪmeɪlz
abingdon	æbɪŋdʌn
abington	æbɪŋtʌn
abio	ɑbioʊ
abiola	ɑbioʊlʌ
abiola's	ɑbioʊlʌz
abiomed	eɪbiʌmɛd
abiquiu	ʌbɪkju
abitibi	æbɪtibi
abitz	æbɪts
abject	æbdʒɛkt
abkhazia	æbkɑzjʌ
abkhazian	æbkɑziʌn
abkhazians	æbkɑziʌnz
ablaze	ʌbleɪz
able	eɪbʌl
able-bodied	eɪbʌlbɑdid
abled	eɪbʌld
abler	eɪbʌləɹ
ables	eɪbʌlz
ablest	eɪbʌlst
abloom	ʌblum
ably	eɪbli
abner	æbnəɹ
abney	æbni
abnormal	æbnɔɹmʌl
abnormalities	æbnɔɹmælʌtiz
abnormality	æbnɔɹmælʌti
abnormally	æbnɔɹmʌli
abo	ɑboʊ
abo's	ɑboʊz
aboard	ʌbɔɹd
abode	ʌboʊd
abohalima	æbʌhʌlimʌ
abolish	ʌbɑlɪʃ
abolished	ʌbɑlɪʃt
abolishes	ʌbɑlɪʃɪz
abolishing	ʌbɑlɪʃɪŋ
abolition	æbʌlɪʃʌn
abolitionism	æbʌlɪʃʌnɪzʌm
abolitionist	æbʌlɪʃʌnʌst
abolitionists	æbʌlɪʃʌnʌsts
abominable	ʌbɑmʌnʌbʌl
abomination	ʌbɑmʌneɪʃʌn
abood	ʌbud
aboodi	ʌbudi
abor	ʌbɔɹ
aboriginal	æbəɹɪdʒʌnʌl
aborigine	æbəɹɪdʒʌni
aborigines	æbəɹɪdʒʌniz
aborn	ʌbɔɹn
abort	ʌbɔɹt
aborted	ʌbɔɹtɪd
abortifacient	ʌbɔɹtʌfeɪʃʌnt
abortifacients	ʌbɔɹtʌfeɪʃʌnts
aborting	ʌbɔɹtɪŋ
abortion	ʌbɔɹʃʌn
abortionist	ʌbɔɹʃʌnɪst
abortionists	ʌbɔɹʃʌnɪsts
abortions	ʌbɔɹʃʌnz
abortive	ʌbɔɹtɪv
aborts	ʌbɔɹts
abott	ʌbɑt
abou	ʌbu
aboud	ɑbud
abouhalima	ɑbuhɑlimʌ
abouhalima's	ɑbuhɑlimʌz
abound	ʌbaʊnd
abounded	ʌbaʊndɪd
abounding	ʌbaʊndɪŋ
abounds	ʌbaʊndz
about	ʌbaʊt
about's	ʌbaʊts
above	ʌbʌv
above's	ʌbʌvz
aboveboard	ʌbʌvbɔɹd
abplanalp	æbplʌnælp
abra	ɑbɹʌ
abracadabra	æbɹʌkʌdæbɹʌ
abraham	eɪbɹʌhæm
abrahamian	æbɹʌheɪmiʌn
abrahams	eɪbɹʌhæmz
abrahamsen	æbɹʌhæmsʌn
abrahamson	ʌbɹæhʌmsʌn
abram	ʌbɹæm
abram's	eɪbɹʌmz
abramczyk	ɑbɹʌmtʃɪk
abramo	ɑbɹɑmoʊ
abramovitz	ʌbɹɑmʌvɪts
abramowicz	ʌbɹɑmʌvɪtʃ
abramowitz	ʌbɹɑmʌwɪts
abrams	eɪbɹʌmz
abrams's	eɪbɹʌmzɪz
abramson	eɪbɹʌmsʌn
abrasion	ʌbɹeɪʒʌn
abrasions	ʌbɹeɪʒʌnz
abrasive	ʌbɹeɪsɪv
abrasives	ʌbɹeɪsɪvz
abraxa	ʌbɹæksʌ
abraxa's	ʌbɹæksʌz
abraxas	ʌbɹæksʌz
abreast	ʌbɹɛst
abrego	ɑbɹɛɡoʊ
abreu	ʌbɹu
abridge	ʌbɹɪdʒ
abridged	ʌbɹɪdʒd
abridgement	ʌbɹɪdʒmʌnt
abridges	ʌbɹɪdʒʌz
abridging	ʌbɹɪdʒɪŋ
abril	ʌbɹɪl
abroad	ʌbɹɔd
abrogate	æbɹʌɡeɪt
abrogated	æbɹʌɡeɪtɪd
abrogating	æbɹʌɡeɪtɪŋ
abrogation	æbɹʌɡeɪʃʌn
abrol	ʌbɹoʊl
abron	ʌbɹɑn
abrupt	ʌbɹʌpt
abruptly	ʌbɹʌptli
abruptness	ʌbɹʌptnʌs
abrutyn	eɪbɹutɪn
abruzzese	ɑbɹutseɪzi
abruzzo	ɑbɹuzoʊ
abs	eɪbiɛs
absalom	æbsʌlʌm
absaraka	æbsɑɹʌkʌ
abscam	æbskæm
abscess	æbsɛs
abscond	æbskɑnd
absconded	æbskɑndʌd
absconding	æbskɑndɪŋ
absconds	æbskɑndz
absecon	æbsʌkɔn
absence	æbsʌns
absences	æbsʌnsɪz
absent	æbsʌnt
absentee	æbsʌnti
absenteeism	æbsʌntiɪzʌm
absentees	æbsʌntiz
absentia	æbsɛnʃʌ
absher	æbʃəɹ
abshier	æbʃiəɹ
abshire	æbʃaɪɹ
absinthe	æbsɪnθ
abso	æbsoʊ
absolom	æbsʌlʌm
absolut	æbsʌlut
absolut's	æbsʌluts
absolute	æbsʌlut
absolutely	æbsʌlutli
absoluteness	æbsʌlutnʌs
absolutes	æbsʌluts
absolution	æbsʌluʃʌn
absolutism	æbsʌlutɪzʌm
absolutist	æbsʌlutɪst
absolve	ʌbzɑlv
absolved	ʌbzɑlvd
absolves	ʌbzɑlvz
absolving	ʌbzɑlvɪŋ
absorb	ʌbzɔɹb
absorbed	ʌbzɔɹbd
absorbency	ʌbzɔɹbʌnsi
absorbent	ʌbzɔɹbʌnt
absorber	ʌbzɔɹbəɹ
absorbers	ʌbzɔɹbəɹz
absorbing	ʌbzɔɹbɪŋ
absorbs	ʌbzɔɹbz
absorption	ʌbzɔɹpʃʌn
abstain	ʌbsteɪn
abstained	ʌbsteɪnd
abstaining	ʌbsteɪnɪŋ
abstention	ʌbstɛntʃʌn
abstentions	ʌbstɛntʃʌnz
abstinence	æbstʌnʌns
abstinent	æbstʌnʌnt
abston	æbstʌn
abstract	æbstɹækt
abstracted	æbstɹæktɪd
abstraction	æbstɹækʃʌn
abstractions	æbstɹækʃʌnz
abstracts	æbstɹækts
abstruse	ʌbstɹus
absurd	ʌbsəɹd
absurdist	ʌbsəɹdɪst
absurdities	ʌbsəɹdʌtiz
absurdity	ʌbsəɹdʌti
absurdly	ʌbsəɹdli
abt	æbt
abts	æbts
abu	æbu
abudrahm	ʌbʌdɹʌm
abuellah	ʌbwɛlʌ
abuellah's	ʌbwɛlʌz
abuladze	æbjulædzi
abundance	ʌbʌndʌns
abundant	ʌbʌndʌnt
abundantly	ʌbʌndʌntli
aburto	ʌbʊɹtoʊ
aburto's	ʌbʊɹtoʊz
abuse	ʌbjus
abused	ʌbjuzd
abuser	ʌbjuzəɹ
abusers	ʌbjuzəɹz
abuses	ʌbjusɪz
abusing	ʌbjuzɪŋ
abusive	ʌbjusɪv
abut	ʌbʌt
abuts	ʌbʌts
abutted	ʌbʌtʌd
abutting	ʌbʌtɪŋ
abuzz	ʌbʌz
abysmal	ʌbɪzmʌl
abysmally	ʌbɪzmʌli
abyss	ʌbɪs
abyssinia	æbsɪniʌ
abyssinian	æbsɪniʌn
abzug	æbzʌɡ
ac	eɪsi
aca	ækʌ
acacia	ʌkeɪʃʌ
academe	ækʌdim
academia	ækʌdimiʌ
academic	ækʌdɛmɪk
academically	ækʌdɛmɪkli
academician	ækʌdʌmɪʃʌn
academicians	ækʌdʌmɪʃʌnz
academics	ækʌdɛmɪks
academies	ʌkædʌmiz
academy	ʌkædʌmi
academy's	ʌkædʌmiz
acadia	ʌkeɪdiʌ
acampo	ʌkɑmpoʊ
acampora	ʌkæmpəɹʌ
acampsia	ʌkæmpsjʌ
acantha	ɑkɑnðʌ
acapulco	ækʌpʊlkoʊ
acary	ækəɹi
accardi	ɑkɑɹdi
accardo	ɑkɑɹdoʊ
accede	æksid
acceded	æksidɪd
accedes	æksidz
acceding	æksidɪŋ
accel	ʌksɛl
accelerant	æksɛləɹʌnt
accelerants	æksɛləɹʌnts
accelerate	æksɛləɹeɪt
accelerated	æksɛləɹeɪtɪd
accelerates	æksɛləɹeɪts
accelerating	æksɛləɹeɪtɪŋ
acceleration	æksɛləɹeɪʃʌn
accelerator	æksɛləɹeɪtəɹ
accelerators	æksɛləɹeɪtəɹz
accelerometer	æksɛləɹɑmʌtəɹ
accelerometers	æksɛləɹɑmʌtəɹz
accent	ʌksɛnt
accented	æksɛntɪd
accenting	æksɛntɪŋ
accents	æksɛnts
accentuate	æksɛntʃueɪt
accentuated	æksɛntʃueɪtɪd
accentuates	æksɛntʃueɪts
accentuating	æksɛntʃueɪtɪŋ
accept	æksɛpt
acceptability	ʌksɛptʌbɪlʌti
acceptable	æksɛptʌbʌl
acceptably	æksɛptʌbli
acceptance	æksɛptʌns
acceptances	æksɛptʌnsɪz
accepted	æksɛptɪd
accepting	æksɛptɪŋ
accepts	æksɛpts
access	æksɛs
accessed	æksɛst
accessibility	æksɛsʌbɪlɪti
accessible	æksɛsʌbʌl
accessing	æksɛsɪŋ
accession	ʌksɛʃʌn
accessories	æksɛsəɹiz
accessorize	æksɛsəɹaɪz
accessorized	æksɛsəɹaɪzd
accessory	æksɛsəɹi
accetta	ɑtʃɛtʌ
accident	æksʌdʌnt
accident's	æksʌdʌnts
accidental	æksʌdɛntʌl
accidentally	æksʌdɛntʌli
accidently	æksʌdʌntli
accidents	æksʌdʌnts
accion	ætʃiʌn
accival	æsɪvɑl
acclaim	ʌkleɪm
acclaim's	ʌkleɪmz
acclaimed	ʌkleɪmd
acclaiming	ʌkleɪmɪŋ
acclaims	ʌkleɪmz
acclamation	æklʌmeɪʃʌn
acclimate	æklʌmeɪt
acclimated	æklʌmeɪtɪd
acclimation	æklʌmeɪʃʌn
acco	ækoʊ
accokeek	ækoʊkik
accola	ɑkoʊlʌ
accolade	ækʌleɪd
accolades	ækʌleɪdz
accomando	ɑkoʊmɑndoʊ
accommodate	ʌkɑmʌdeɪt
accommodated	ʌkɑmʌdeɪtʌd
accommodates	ʌkɑmʌdeɪts
accommodating	ʌkɑmʌdeɪtɪŋ
accommodation	ʌkɑmʌdeɪʃʌn
accommodations	ʌkɑmʌdeɪʃʌnz
accommodative	ʌkɑmʌdeɪtɪv
accompanied	ʌkʌmpʌnid
accompanies	ʌkʌmpʌniz
accompaniment	ʌkʌmpnɪmʌnt
accompaniments	ʌkʌmpnɪmʌnts
accompanist	ʌkʌmpʌnʌst
accompany	ʌkʌmpʌni
accompanying	ʌkʌmpʌniɪŋ
accompli	ɑkɑmpli
accomplice	ʌkɑmplʌs
accomplices	ʌkɑmplʌsʌz
accomplish	ʌkɑmplɪʃ
accomplished	ʌkɑmplɪʃt
accomplishes	ʌkɑmplɪʃɪz
accomplishing	ʌkɑmplɪʃɪŋ
accomplishment	ʌkɑmplɪʃmʌnt
accomplishments	ʌkɑmplɪʃmʌnts
accor	ækɔɹ
accor's	ækəɹz
accord	ʌkɔɹd
accord's	ʌkɔɹdz
accordance	ʌkɔɹdʌns
accorded	ʌkɔɹdɪd
according	ʌkɔɹdɪŋ
accordingly	ʌkɔɹdɪŋli
accordion	ʌkɔɹdiʌn
accordions	ʌkɔɹdiʌnz
accords	ʌkɔɹdz
accost	ʌkɔst
accosted	ʌkɑstʌd
accosting	ʌkɑstɪŋ
account	ʌkaʊnt
account's	ʌkaʊnts
accountability	ʌkaʊntʌbɪlɪti
accountable	ʌkaʊntʌbʌl
accountancy	ʌkaʊntʌnsi
accountant	ʌkaʊntʌnt
accountant's	ʌkaʊntʌnts
accountants	ʌkaʊntʌnts
accountants'	ʌkaʊntʌnts
accounted	ʌkaʊntʌd
accountemp	ʌkaʊntɛmp
accountemps	ʌkaʊntɛmps
accounting	ʌkaʊntɪŋ
accounts	ʌkaʊnts
accouterment	ʌkutəɹmʌnt
accouterments	ʌkutəɹmʌnts
accoutrement	ʌkutəɹmʌnt
accoutrements	ʌkutəɹmʌnts
accredit	ʌkɹɛdʌt
accreditation	ʌkɹɛdʌteɪʃʌn
accreditations	ʌkɹɛdʌteɪʃʌnz
accredited	ʌkɹɛdɪtɪd
accrediting	ʌkɹɛdʌtɪŋ
accreted	ʌkɹitɪd
accretion	ʌkɹiʃʌn
accrual	ʌkɹuʌl
accruals	ʌkɹuʌlz
accrue	ʌkɹu
accrued	ʌkɹud
accrues	ʌkɹuz
accruing	ʌkɹuɪŋ
accu	ækju
accuhealth	ækjuhɛlθ
accumulate	ʌkjumjʌleɪt
accumulated	ʌkjumjʌleɪtɪd
accumulates	ʌkjumjʌleɪts
accumulating	ʌkjumjʌleɪtɪŋ
accumulation	ʌkjumjʌleɪʃʌn
accumulations	ʌkjumjʌleɪʃʌnz
accumulative	ʌkjumjʌleɪtɪv
accumulatively	ʌkjumjʌleɪtɪvli
accumulator	ʌkjumjʌleɪtəɹ
accumulators	ʌkjumjʌleɪtəɹz
accuracies	ækjəɹʌsiz
accuracy	ækjəɹʌsi
accurate	ækjəɹʌt
accurately	ækjəɹʌtli
accuray	ækjəɹeɪ
accuray's	ækjəɹeɪz
accuride	ækjəɹaɪd
accurso	ɑkʊɹsoʊ
accusation	ækjʌzeɪʃʌn
accusations	ækjʌzeɪʃʌnz
accusative	ʌkjuzʌtɪv
accusatory	ʌkjuzʌtɔɹi
accuse	ʌkjuz
accused	ʌkjuzd
accuser	ʌkjuzəɹ
accusers	ʌkjuzəɹz
accuses	ʌkjuzɪz
accusing	ʌkjuzɪŋ
accusingly	ʌkjuzɪŋli
accustom	ʌkʌstʌm
accustomed	ʌkʌstʌmd
accutane	ækjuteɪn
ace	eɪs
acecomm	eɪskɑm
aced	eɪst
acer	eɪsəɹ
acerbic	ʌsɛɹbɪk
acero	ʌsɛɹoʊ
acerra	ʌsɛɹʌ
aces	eɪsɪz
acetaminophen	ʌsitʌmɪnʌfʌn
acetate	æsʌteɪt
acetic	ʌsɛtɪk
aceto	ɑsɛtoʊ
acetochlor	ɑsɛtoʊklɔɹ
acetone	æsʌtoʊn
acetosyringone	ʌsɛtoʊsɪɹɪŋɡɔn
acetylcholine	ʌsɛtʌlkoʊlin
acetylene	ʌsɛtʌlin
acevedo	æsʌveɪdoʊ
aceves	ɑseɪvɛs
acey	eɪsi
achaean	ʌtʃiʌn
achatz	ækʌts
ache	eɪk
achebe	ɑtʃeɪbi
ached	eɪkt
achee	ʌtʃi
achenbach	ækɪnbɑk
achenbaum	ækʌnbaʊm
aches	eɪks
acheson	ætʃʌsʌn
acheson's	ætʃʌsʌnz
achesons	ætʃʌsʌnz
achey	ætʃi
achieva	ʌtʃivʌ
achievable	ʌtʃivʌbʌl
achieve	ʌtʃiv
achieved	ʌtʃivd
achievement	ʌtʃivmʌnt
achievements	ʌtʃivmʌnts
achiever	ʌtʃivəɹ
achievers	ʌtʃivəɹz
achieves	ʌtʃivz
achieving	ʌtʃivɪŋ
achille	ʌkɪli
achilles	ʌkɪliz
achilles'	ʌkɪliz
aching	eɪkɪŋ
achingly	eɪkɪŋli
achmed	ɑhmɛd
achoa	ʌtʃoʊʌ
achoa's	ʌtʃoʊʌz
achor	eɪkəɹ
achord	ækɔɹd
achorn	ækəɹn
achtenberg	æktɛnbəɹɡ
achterberg	æktəɹbəɹɡ
achy	eɪki
acid	æsʌd
acidic	ʌsɪdɪk
acidification	ʌsɪdʌfʌkeɪʃʌn
acidified	ʌsɪdʌfaɪd
acidifies	ʌsɪdʌfaɪz
acidify	ʌsɪdʌfaɪ
acidity	ʌsɪdʌti
acidly	æsʌdli
acidosis	æsʌdoʊsʌs
acids	æsʌdz
aciduria	æsʌdʊɹiʌ
acierno	ɑsɪɹnoʊ
ack	æk
acker	ækəɹ
acker's	ækəɹz
ackerley	ækəɹli
ackerly	ækəɹli
ackerman	ækəɹmʌn
ackermann	ækəɹmʌn
ackermanville	ækəɹmʌnvɪl
ackerson	ækəɹsʌn
ackert	ækəɹt
ackhouse	ækhaʊs
ackland	æklʌnd
ackles	ækʌlz
ackley	ækli
acklin	æklɪn
ackman	ækmʌn
acknowledge	æknɑlɪdʒ
acknowledgeable	æknɑlɪdʒʌbʌl
acknowledged	æknɑlɪdʒd
acknowledgement	æknɑlɪdʒmʌnt
acknowledgements	æknɑlɪdʒmʌnts
acknowledges	æknɑlɪdʒɪz
acknowledging	æknɑlɪdʒɪŋ
acknowledgment	æknɑlɪdʒmʌnt
ackroyd	ækɹɔɪd
ackroyd's	ækɹɔɪdz
acmat	ækmæt
acmat's	ækmæts
acme	ækmi
acme's	ækmiz
acne	ækni
acocella	ɑkoʊtʃɛlʌ
acoff	ækɔf
acog	ʌkɔɡ
acolyte	ækʌlaɪt
acolytes	ækʌlaɪts
acord	ʌkɔɹd
acordia	ʌkɔɹdiʌ
acorn	eɪkɔɹn
acorn's	eɪkɔɹnz
acorns	eɪkɔɹnz
acosta	ʌkɔstʌ
acott	eɪkɔt
acoustic	ʌkustɪk
acoustical	ʌkustɪkʌl
acoustically	ʌkustɪkli
acoustics	ʌkustɪks
acquaint	ʌkweɪnt
acquaintance	ʌkweɪntʌns
acquaintances	ʌkweɪntʌnsɪz
acquaintanceship	ʌkweɪntʌnsʃɪp
acquainted	ʌkweɪntɪd
acquaviva	ɑkwɑvivʌ
acquiesce	ækwiɛs
acquiesced	ækwiɛst
acquiescence	ækwiɛsʌns
acquiescing	ækwiɛsɪŋ
acquire	ʌkwaɪəɹ
acquired	ʌkwaɪəɹd
acquirer	ʌkwaɪəɹəɹ
acquirer's	ʌkwaɪəɹəɹz
acquirers	ʌkwaɪəɹəɹz
acquires	ʌkwaɪəɹz
acquiring	ʌkwaɪɹɪŋ
acquisition	ækwʌzɪʃʌn
acquisition's	ækwʌzɪʃʌnz
acquisitions	ækwʌzɪʃʌnz
acquisitive	ʌkwɪzʌtɪv
acquit	ʌkwɪt
acquitaine	ækwɪteɪn
acquits	ʌkwɪts
acquittal	ʌkwɪtʌl
acquittals	ʌkwɪtʌlz
acquitted	ʌkwɪtʌd
acquitting	ʌkwɪtɪŋ
acre	eɪkəɹ
acreage	eɪkəɹɪdʒ
acree	ʌkɹi
acres	eɪkəɹz
acrey	ækɹi
acri	ɑkɹi
acrid	ækɹɪd
acrimonious	ækɹʌmoʊniʌs
acrimony	ækɹɪmoʊni
acro	ækɹoʊ
acrobat	ækɹʌbæt
acrobatic	ækɹʌbætɪk
acrobatics	ækɹʌbætɪks
acrobats	ækɹʌbæts
acrolein	ækɹoʊlin
acronym	ækɹʌnɪm
acronyms	ækɹʌnɪmz
acropolis	ʌkɹɑpʌlʌs
across	ʌkɹɔs
acrylic	ʌkɹɪlɪk
acrylics	ʌkɹɪlɪks
act	ækt
act's	ækts
actava	æktɑvʌ
actava's	æktɑvʌz
actavas	æktɑvʌz
acted	æktʌd
actel	æktɛl
actigall	æktɪɡɔl
actin	æktʌn
acting	æktɪŋ
actinide	æktɪnaɪd
actinidia	æktɪnɪdiʌ
actinomycosis	æktɪnoʊmaɪkoʊsɪs
action	ækʃʌn
action's	ækʃʌnz
actionable	ækʃʌnʌbʌl
actions	ækʃʌnz
activase	æktɪveɪz
activate	æktʌveɪt
activated	æktʌveɪtʌd
activates	æktʌveɪts
activating	æktʌveɪtɪŋ
activation	æktʌveɪʃʌn
activator	æktʌveɪtəɹ
active	æktɪv
active's	æktɪvz
actively	æktɪvli
actives	æktɪvz
activision	æktɪvɪʒʌn
activism	æktɪvɪzʌm
activist	æktʌvʌst
activists	æktʌvʌsts
activists'	æktɪvɪsts
activities	æktɪvʌtiz
activity	æktɪvʌti
actmedia	æktmidiʌ
actodine	æktoʊdaɪn
acton	æktʌn
actor	æktəɹ
actor's	æktəɹz
actors	æktəɹz
actors'	æktəɹz
actress	æktɹʌs
actress's	æktɹʌsɪz
actresses	æktɹʌsɪz
acts	ækts
actual	æktʃʌwʌl
actuality	æktʃuælʌti
actualize	æktʃuʌlaɪz
actually	æktʃuʌli
actuarial	æktʃuɛɹiʌl
actuaries	æktʃuɛɹiz
actuary	æktʃuɛɹi
actuate	æktʃueɪt
actuator	æktjueɪtəɹ
actuators	æktjueɪtəɹz
actus	æktʌs
acuff	ʌkʌf
acuity	ʌkjuʌti
acumen	ʌkjumʌn
acuna	ɑkunʌ
acupuncture	ækjupʌŋktʃəɹ
acura	ækjəɹʌ
acura's	ækjəɹʌz
acuras	ækjəɹʌz
acuson	ækjusʌn
acustar	ækjustɑɹ
acusyst	ækjusɪst
acute	ʌkjut
acutely	ʌkjutli
acuteness	ʌkjutnʌs
acyclovir	ʌsɪkloʊvɪɹ
ad	æd
ad's	ædz
ad-hoc	ædhɑk
ad-lib	ædlɪb
ad-nauseum	ædnɔziʌm
ada	eɪdʌ
ada's	eɪdʌz
adabel	ædʌbɛl
adabelle	ædʌbʌl
adachi	ɑdɑki
adage	ædʌdʒ
adagio	ʌdɑʒioʊ
adah	ædɑ
adair	ʌdɛɹ
adaire	ɑdɛɹ
adak	ʌdæk
adalah	ɑdɑlʌ
